x	shapes_checked	pg_shape_count	pg_shape_layers	pg_via_count	pg_via_defs	signal_shape_count	signal_shape_layers	signal_via_count	signal_via_defs	status
130.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		47	M2=13,M3=15,M4=10,M5=3,M6=6,M7=0	4	VIA34SQ_C 3 VIA23SQ_C 1	candidate
130.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=12,M3=14,M4=5,M5=4,M6=2,M7=0	0		candidate
131.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		38	M2=11,M3=13,M4=8,M5=4,M6=2,M7=0	0		candidate
131.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=13,M3=10,M4=9,M5=3,M6=2,M7=0	0		candidate
132.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		35	M2=12,M3=12,M4=5,M5=3,M6=3,M7=0	0		candidate
132.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		30	M2=11,M3=10,M4=4,M5=4,M6=1,M7=0	3	VIA34SQ_C 1 VIA23SQ_C 1 VIA45SQ_C 1	candidate
133.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		36	M2=9,M3=13,M4=8,M5=5,M6=1,M7=0	3	VIA34SQ_C 1 VIA23SQ_C 1 VIA45SQ_C 1	candidate
133.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=15,M3=11,M4=3,M5=4,M6=4,M7=0	1	VIA12SQ_C 1	candidate
134.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		23	M2=5,M3=10,M4=4,M5=4,M6=0,M7=0	1	VIA12SQ_C 1	candidate
134.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		29	M2=7,M3=10,M4=6,M5=4,M6=2,M7=0	1	VIA12SQ_C 1	candidate
135.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=14,M3=9,M4=6,M5=4,M6=4,M7=0	3	VIA12SQ_C 2 VIA23SQ_C 1	candidate
135.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		36	M2=13,M3=11,M4=5,M5=4,M6=3,M7=0	1	VIA23SQ_C 1	candidate
136.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		25	M2=6,M3=7,M4=8,M5=4,M6=0,M7=0	1	VIA23SQ_C 1	candidate
136.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		41	M2=21,M3=8,M4=5,M5=3,M6=4,M7=0	2	VIA12SQ_C 1 VIA23SQ_C 1	candidate
137.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		32	M2=14,M3=8,M4=3,M5=3,M6=4,M7=0	1	VIA12SQ_C 1	candidate
137.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=11,M3=8,M4=11,M5=4,M6=3,M7=0	1	VIA12SQ_C 1	candidate
138.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		38	M2=15,M3=7,M4=10,M5=4,M6=2,M7=0	4	VIA12SQ_C 1 VIA34SQ_C 1 VIA45SQ_C 2	candidate
138.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		39	M2=16,M3=6,M4=9,M5=3,M6=5,M7=0	4	VIA34SQ_C 1 VIA45SQ_C 2 VIA23SQ_C 1	candidate
139.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		26	M2=9,M3=5,M4=9,M5=0,M6=3,M7=0	1	VIA23SQ_C 1	candidate
139.5	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	7	VIA78LG_C 7	14	M2=6,M3=2,M4=6,M5=0,M6=0,M7=0	0		candidate
